customer_id,first_name,last_name,gender,age,signup_date,region
C0000,Patrick,Morgan,Male,18.0,2024-07-11,South
C0001,Eric,Lee,Other,36.0,2020-09-20,East
C0002,Thomas,Pena,Female,,2021-03-07,East
C0003,Dalton,Duran,Male,24.0,2021-08-29,South
C0004,Travis,Mcclain,Male,50.0,2023-03-29,South
C0005,Brian,Kelley,Male,68.0,2024-11-21,North
C0006,Alyssa,Sandoval,Female,47.0,2025-02-08,North
C0007,Theresa,Wright,Male,70.0,2022-12-08,South
C0008,Alyssa,Estrada,Male,48.0,2023-08-22,East
C0009,Karen,Clark,Female,62.0,2023-05-31,East
C0010,Christina,Scott,Male,70.0,2021-06-04,West
C0011,John,Franklin,Other,51.0,2020-06-30,East
C0012,Jerome,Jones,Male,63.0,2020-06-06,East
C0013,Richard,Barnes,Male,65.0,2020-06-15,North
C0014,Anna,Bennett,Male,26.0,2020-06-28,South
C0015,Anne,Greer,Other,32.0,2020-09-18,East
C0016,Sabrina,Carey,Male,31.0,2022-09-21,South
C0017,Crystal,Adkins,Male,45.0,2024-07-30,North
C0018,Amanda,Riley,Male,19.0,2023-01-21,West
C0019,Jose,Arellano,Female,20.0,2020-05-19,South
C0020,Michelle,Adkins,Male,20.0,2021-04-28,North
C0021,Courtney,Roth,Female,25.0,2022-12-29,East
C0022,John,Le,Male,22.0,2024-11-27,East
C0023,Patricia,Stephens,Other,,2020-09-30,North
C0024,Amber,Higgins,Male,56.0,2023-01-13,South
C0025,Sharon,Montes,Other,30.0,2022-12-17,South
C0026,Vincent,Henry,Other,40.0,2024-09-15,North
C0027,Ray,Ross,Male,27.0,2021-12-17,East
C0028,Kylie,Long,Other,40.0,2023-09-16,East
C0029,Nancy,Murphy,Male,50.0,2021-09-14,South
C0030,Craig,Matthews,Other,54.0,2022-05-06,North
C0031,Melanie,Patterson,Male,70.0,2023-04-27,North
C0032,John,Frazier,Other,31.0,2021-07-01,South
C0033,Charles,Jones,Female,28.0,2024-07-27,North
C0034,Shawn,Hall,Other,24.0,2022-05-20,South
C0035,James,Small,Other,63.0,2022-01-13,West
C0036,Anthony,Williams,Female,,2023-09-18,South
C0037,John,Silva,Female,61.0,2024-05-09,North
C0038,Jamie,Hopkins,Male,40.0,2024-09-22,West
C0039,Jonathan,Brown,Female,31.0,2021-08-20,South
C0040,Jason,Lee,Female,25.0,2021-05-23,East
C0041,Jonathan,Kennedy,Male,47.0,2022-05-16,North
C0042,Sherry,Torres,Other,26.0,2020-07-19,West
C0043,Kevin,Chavez,Female,63.0,2023-02-13,East
C0044,Bryan,Pollard,Other,64.0,2021-12-14,North
C0045,Allison,Pratt,Male,38.0,2023-06-23,West
C0046,Edward,Green,Male,42.0,2021-07-04,East
C0047,Michael,Brewer,Female,56.0,2024-11-12,East
C0048,Gregory,Ward,Other,46.0,2024-09-06,South
C0049,Robert,Manning,Other,44.0,2024-07-09,East
C0050,Robert,Wilcox,Female,30.0,2022-04-11,North
C0051,Kathy,Porter,Female,61.0,2023-07-14,East
C0052,Megan,Peterson,Male,18.0,2025-03-13,West
C0053,Matthew,Watson,Other,24.0,2024-03-26,West
C0054,Jorge,Jenkins,Female,51.0,2020-07-24,North
C0055,Carlos,Strickland,Male,,2025-01-25,West
C0056,Dawn,Guzman,Female,62.0,2022-11-21,North
